epoch,auc,vid_acc,avg_ranking_loss,avg_sparsity_loss,avg_smoothness_loss,avg_total_loss,avg_anom_score,avg_norm_score,lr,epoch_time_sec,timestamp
1,0.7939374275614034,0.7206896551724138,0.4378911679304099,0.9553177364264862,0.004172405645050863,0.4383688699218291,0.6552624008323573,0.5931535687627671,3e-05,16.788939237594604,2026-02-22T18:17:52.388470
2,0.7848642905816241,0.7793103448275862,0.19986432941654061,0.7260028950021237,0.008403275851631843,0.20022741479458747,0.8157896603210063,0.5043463944634304,3e-05,12.345753192901611,2026-02-22T18:18:04.824637
3,0.7811199244094517,0.7827586206896552,0.08092305630068236,0.5405160349003876,0.00813257222099206,0.08119339601748661,0.8566363936738123,0.38225390186792685,3e-05,11.897972822189331,2026-02-22T18:18:16.766827
4,0.775516534209443,0.7758620689655172,0.0281090034714228,0.3984594360182557,0.006809167242667909,0.028308302216667275,0.8266898929318295,0.24455793956412544,3e-05,11.228758096694946,2026-02-22T18:18:28.039054
5,0.7699323800781877,0.7827586206896552,0.025294508360609223,0.4041557623238503,0.007163585747203118,0.02549665797552642,0.8496467788008195,0.24315881747988205,3e-05,11.416431427001953,2026-02-22T18:18:39.498539
6,0.7548211282274438,0.7862068965517242,0.03486157519907891,0.4222344379824928,0.006915526670887124,0.03507276206704474,0.8521946585631068,0.25271946946276896,3e-05,11.201108932495117,2026-02-22T18:18:50.743591
7,0.7538276369350193,0.7448275862068966,0.021473755564870713,0.38815226184227797,0.006707661667296403,0.021667899493382443,0.8387457668026791,0.21397741195521777,3e-05,11.170400857925415,2026-02-22T18:19:01.964251
8,0.7652400071274092,0.7655172413793103,0.025698080847534954,0.3923511657911011,0.006397227759626281,0.025894320487502308,0.8360261917114258,0.232962312907735,3e-05,11.218226671218872,2026-02-22T18:19:13.232575
9,0.7682820976712439,0.7551724137931034,0.012764671180821672,0.36068535850772376,0.006678131021429561,0.012945080539563456,0.8679502930822252,0.18808698144894612,3e-05,11.155170202255249,2026-02-22T18:19:24.437087
10,0.7651661481178987,0.7620689655172413,0.013460034811044042,0.33339386820038663,0.006187302791336669,0.013626793357155904,0.8425410865228388,0.17999486460150044,3e-05,10.951347351074219,2026-02-22T18:19:35.438976
11,0.7756941704287759,0.7931034482758621,0.011281230027162576,0.3940877183988879,0.0069861810940282446,0.011478343523776857,0.8819068961694271,0.1910215606323526,3e-05,11.349321126937866,2026-02-22T18:19:46.837591
12,0.7693434448679893,0.7758620689655172,0.004585111443000504,0.35328702562594716,0.006786862625504691,0.0047618228870961975,0.8600277878061126,0.16349939072999772,3e-05,11.042070150375366,2026-02-22T18:19:57.928991
13,0.7705912515817479,0.7517241379310344,0.015005092077617403,0.38852815433770793,0.007173158356601585,0.015199428263845738,0.8693665137773827,0.1865050420165062,3e-05,11.229015588760376,2026-02-22T18:20:09.207743
14,0.7431105152028741,0.7827586206896552,0.004530804066718379,0.4329044716079024,0.007385177981355994,0.004747330193074245,0.8793074903608877,0.1826724750048752,3e-05,11.38513731956482,2026-02-22T18:20:20.642925
15,0.7460515429359831,0.7655172413793103,0.002998713451095774,0.36927409073974515,0.0069796987072434985,0.003183420177276874,0.8764654548862313,0.13752748505978646,3e-05,11.249454021453857,2026-02-22T18:20:31.942310
16,0.7358032984905345,0.6931034482758621,0.015362391743478896,0.40750681988517695,0.0073494219185808035,0.015566218955289606,0.874894657466985,0.17153858685795265,3e-05,11.243950128555298,2026-02-22T18:20:43.236066
17,0.7608753741792831,0.7689655172413793,0.010457523638689065,0.3448629043996334,0.005955394543117926,0.010630014614250711,0.8151995920682256,0.14158540810870973,3e-05,11.220258235931396,2026-02-22T18:20:54.506610
18,0.7755417498022849,0.8,0.007969356035884423,0.3814433200072639,0.00749443544522871,0.00816015282263051,0.8610786825795717,0.13589676266795472,1.5e-05,11.439545154571533,2026-02-22T18:21:05.995617
19,0.7796671590193325,0.7931034482758621,0.0015286384504052657,0.3211272193849841,0.007179529258769147,0.0016892738843850993,0.8429917764814594,0.10358394953551926,1.5e-05,11.16533088684082,2026-02-22T18:21:17.210496
20,0.7937009007579697,0.803448275862069,0.018094379690629016,0.3361463388545981,0.007609637878552268,0.018262528795034247,0.8623839496057245,0.124577680461203,1.5e-05,11.07665491104126,2026-02-22T18:21:28.336951
21,0.7986408335733979,0.8068965517241379,0.014753841146638122,0.27872570387170287,0.006947024651696976,0.014893273571251945,0.8099757531021214,0.11008026940111496,1.5e-05,10.966246128082275,2026-02-22T18:21:39.352507
22,0.7968148129041899,0.8068965517241379,0.0029072263572789444,0.366254844620258,0.008021197383457064,0.0030904338501513157,0.8843386648576471,0.11386804407627522,1.5e-05,11.040721654891968,2026-02-22T18:21:50.508709
23,0.7979284748806534,0.803448275862069,0.012439368269111536,0.43940880922954295,0.008144076293204686,0.012659154692922624,0.9110504105875764,0.17958285403732635,1.5e-05,11.420543193817139,2026-02-22T18:22:01.979292
24,0.7955795593751661,0.8,0.007837958728210836,0.4034978029954754,0.008343772500384032,0.008039791185793444,0.8938994584487209,0.14343048938656155,1.5e-05,11.396965742111206,2026-02-22T18:22:13.426718
25,0.8010396263230694,0.803448275862069,0.0048190921167784095,0.4097662461756528,0.008514514699861218,0.005024060462266236,0.9126494398599938,0.1673160259246449,1.5e-05,11.319246530532837,2026-02-22T18:22:24.796040
26,0.7828914818462683,0.7965517241379311,0.0057731542406202875,0.29947077407489847,0.007558003431952358,0.005922965212103239,0.8260965837708002,0.11752898526625542,1.5e-05,10.881303787231445,2026-02-22T18:22:35.793920
27,0.7837595283270451,0.8206896551724138,0.013326266898384577,0.38929247714673415,0.008836353327371652,0.013521001163260021,0.9023665348185769,0.13943502332873736,1.5e-05,11.234731197357178,2026-02-22T18:22:47.077826
28,0.7795879090485767,0.7620689655172413,0.004843131650852252,0.338741857982889,0.008152349922758869,0.005012584101459191,0.8891263407996938,0.11800282096042286,1.5e-05,11.358374834060669,2026-02-22T18:22:58.485682
29,0.7698108812422291,0.7793103448275862,0.005916725608366954,0.26184670730859416,0.007214398479937941,0.00604772077575127,0.8212468876868864,0.0709766987180691,1.5e-05,11.234416723251343,2026-02-22T18:23:09.769853
30,0.7756968676779812,0.8103448275862069,0.011986459735073621,0.4050357335164577,0.00892488801368524,0.012189066859810978,0.9115106459659866,0.1473996893243416,1.5e-05,11.469785928726196,2026-02-22T18:23:21.288986
31,0.7756662666976087,0.8,0.010026128986213781,0.39775278339091735,0.00846110145072158,0.010225089545500953,0.8633334485790397,0.15271233612836538,1.5e-05,11.169991254806519,2026-02-22T18:23:32.508344
32,0.7835326549832331,0.8068965517241379,0.017861243290237232,0.37205509379317486,0.009001100244283487,0.018047360772793064,0.8823950169961664,0.1622119200463065,1.5e-05,11.507111549377441,2026-02-22T18:23:44.064763
33,0.7816850596431749,0.7689655172413793,0.0011801681941068624,0.27400138573367383,0.007514056089463868,0.0013172440927588422,0.8555192396610598,0.08354804147317817,1.5e-05,11.291273593902588,2026-02-22T18:23:55.406055
34,0.7805090395888977,0.8103448275862069,8.426361446139179e-05,0.303109232854994,0.008156985153526634,0.0002358998027847508,0.8669809050197843,0.08631908031817101,1.5e-05,11.04163670539856,2026-02-22T18:24:06.497324
35,0.7780192916386897,0.8,0.006609517562238476,0.3634592847356313,0.008709042604211011,0.006791333993141616,0.8888524197324922,0.1316172662721593,1.5e-05,11.466837406158447,2026-02-22T18:24:18.013564
36,0.7843314678874571,0.7689655172413793,0.008147943623458283,0.33596040899688495,0.008223316073159782,0.008316006109936684,0.8846747331981417,0.10393634153223491,1.5e-05,11.590867519378662,2026-02-22T18:24:29.654370
37,0.7830336428716559,0.7862068965517242,0.008857917936542366,0.34347735185034667,0.007970874558815944,0.009029735742577814,0.8547891763192189,0.11439598943519441,1.5e-05,11.420605897903442,2026-02-22T18:24:41.124477
