fpr,tpr,threshold
0.0,0.0,inf
7.875442009182765e-06,0.0,0.9899119734764099
0.00011813163013774148,0.0,0.98984295129776
0.00011813163013774148,8.634087376964255e-05,0.9898396730422974
0.00039377210045913827,8.634087376964255e-05,0.9897748231887817
0.00039377210045913827,0.0001726817475392851,0.9897691011428833
0.0004095229844775038,0.0001726817475392851,0.9897661805152893
0.0004095229844775038,0.0002590226213089276,0.9897629022598267
0.000535530056624428,0.0002590226213089276,0.9897345304489136
0.0005512809406427936,0.0002590226213089276,0.9897319674491882
0.0006851634547989006,0.0002590226213089276,0.9897056818008423
0.0006851634547989006,0.0003453634950785702,0.9897051453590393
0.0007324161068539972,0.0003453634950785702,0.9896976351737976
0.0007324161068539972,0.00043170436884821275,0.9896968603134155
0.00074029154886318,0.00043170436884821275,0.989693820476532
0.00074029154886318,0.0005180452426178552,0.9896929860115051
0.0007796687589090937,0.0005180452426178552,0.9896841049194336
0.0007796687589090937,0.0006043861163874979,0.9896822571754456
0.0008662986210101042,0.0006043861163874979,0.9896681308746338
0.0008820495050284698,0.0006043861163874979,0.989666223526001
0.0009293021570835663,0.0006043861163874979,0.9896619319915771
0.0009450530411019318,0.0006043861163874979,0.9896610975265503
0.0010159320191845767,0.0006043861163874979,0.9896538853645325
0.0010316829032029423,0.0006043861163874979,0.9896536469459534
0.001212818069414146,0.0006043861163874979,0.9896366000175476
0.0012285689534325113,0.0006043861163874979,0.9896346926689148
0.0012679461634784253,0.0006043861163874979,0.9896281957626343
0.0012836970474967907,0.0006043861163874979,0.9896273612976074
0.001307323373524339,0.0006043861163874979,0.989625871181488
0.001307323373524339,0.0006907269901571404,0.9896252751350403
0.0013467005835702528,0.0006907269901571404,0.9896209239959717
0.0013624514675886184,0.0006907269901571404,0.989620566368103
0.0013860777936161668,0.0006907269901571404,0.9896184802055359
0.0013860777936161668,0.000777067863926783,0.9896183609962463
0.001504209423753908,0.000777067863926783,0.9896072745323181
0.0015199603077722737,0.000777067863926783,0.9896071553230286
0.0015357111917906393,0.000777067863926783,0.9896065592765808
0.0015514620758090049,0.000777067863926783,0.9896061420440674
0.0015672129598273703,0.000777067863926783,0.9896045923233032
0.0015672129598273703,0.0008634087376964255,0.9896044731140137
