fpr,tpr,threshold
0.0,0.0,inf
0.0,0.007142857142857143,0.9899119734764099
0.0,0.08571428571428572,0.989604115486145
0.006666666666666667,0.08571428571428572,0.9895797371864319
0.006666666666666667,0.17857142857142858,0.9893414378166199
0.02,0.17857142857142858,0.989334762096405
0.02,0.2357142857142857,0.9892045855522156
0.02666666666666667,0.2357142857142857,0.9891941547393799
0.02666666666666667,0.2642857142857143,0.9891241788864136
0.03333333333333333,0.2642857142857143,0.9891196489334106
0.03333333333333333,0.38571428571428573,0.9885995388031006
0.04,0.38571428571428573,0.9885631799697876
0.04,0.40714285714285714,0.9884510040283203
0.04666666666666667,0.40714285714285714,0.9884065985679626
0.04666666666666667,0.5285714285714286,0.9872952103614807
0.05333333333333334,0.5285714285714286,0.9870352149009705
0.05333333333333334,0.5571428571428572,0.9865591526031494
0.06,0.5571428571428572,0.9858805537223816
0.06,0.6071428571428571,0.9837127923965454
0.06666666666666667,0.6071428571428571,0.9830982089042664
0.06666666666666667,0.6142857142857143,0.9824103116989136
0.07333333333333333,0.6142857142857143,0.9823066592216492
0.07333333333333333,0.65,0.9790964722633362
0.08,0.65,0.978340208530426
0.08,0.6785714285714286,0.9708868265151978
0.08666666666666667,0.6785714285714286,0.9693664312362671
0.08666666666666667,0.7,0.9634677171707153
0.1,0.7,0.9619895815849304
0.1,0.7071428571428572,0.9618541598320007
0.12,0.7071428571428572,0.9526371359825134
0.12,0.7285714285714285,0.9371203184127808
0.12666666666666668,0.7285714285714285,0.9330026507377625
0.12666666666666668,0.7357142857142858,0.9157347083091736
0.13333333333333333,0.7357142857142858,0.8902685642242432
0.13333333333333333,0.75,0.6927399635314941
0.14666666666666667,0.75,0.6755423545837402
0.14666666666666667,0.7571428571428571,0.6672118306159973
0.15333333333333332,0.7571428571428571,0.6615369915962219
0.15333333333333332,0.7642857142857142,0.6406423449516296
0.16666666666666666,0.7642857142857142,0.4169343113899231
0.16666666666666666,0.7714285714285715,0.3737408220767975
0.18666666666666668,0.7714285714285715,0.28047940135002136
0.18666666666666668,0.7785714285714286,0.22836293280124664
0.2,0.7785714285714286,0.11164704710245132
0.2,0.8,0.04855511710047722
0.22666666666666666,0.8,0.014741946011781693
0.22666666666666666,0.8071428571428572,0.012910163961350918
0.24,0.8071428571428572,0.010791518725454807
0.24,0.8357142857142857,0.0039620897732675076
0.24666666666666667,0.8357142857142857,0.003104681149125099
0.24666666666666667,0.85,0.0026114960201084614
0.2733333333333333,0.85,0.001989952987059951
0.2733333333333333,0.8571428571428571,0.0019507653778418899
0.3,0.8571428571428571,0.001610228675417602
0.3,0.8714285714285714,0.0014953541103750467
0.35333333333333333,0.8714285714285714,0.001104029011912644
0.35333333333333333,0.8785714285714286,0.0010942828375846148
0.37333333333333335,0.8785714285714286,0.0009247075649909675
0.37333333333333335,0.8857142857142857,0.0008732037385925651
0.38,0.8857142857142857,0.0008621821762062609
0.38,0.8928571428571429,0.0008576460531912744
0.3933333333333333,0.8928571428571429,0.0008152855443768203
0.3933333333333333,0.9,0.0008003577240742743
0.4,0.9,0.0007919864729046822
0.4,0.9071428571428571,0.00075336400186643
0.42,0.9071428571428571,0.0006702052196487784
0.42,0.9142857142857143,0.0006681258673779666
0.4266666666666667,0.9142857142857143,0.000666565727442503
0.4266666666666667,0.9214285714285714,0.000650265603326261
0.43333333333333335,0.9214285714285714,0.0006306451396085322
0.43333333333333335,0.9285714285714286,0.0006012482917867601
0.44,0.9285714285714286,0.0005859156954102218
0.44,0.9357142857142857,0.0005854786140844226
0.48,0.9357142857142857,0.0005166616756469011
0.49333333333333335,0.9357142857142857,0.000515881460160017
0.5266666666666666,0.9357142857142857,0.0004959815996699035
0.5266666666666666,0.9571428571428572,0.0004794914275407791
0.6133333333333333,0.9571428571428572,0.00045240597683005035
0.6133333333333333,0.9642857142857143,0.00044805093784816563
0.7533333333333333,0.9642857142857143,0.0004012979625258595
0.7533333333333333,0.9714285714285714,0.00039835224743001163
0.84,0.9714285714285714,0.0003788169415201992
0.84,0.9785714285714285,0.0003767926536966115
0.8533333333333334,0.9785714285714285,0.00037096187588758767
0.8533333333333334,0.9928571428571429,0.0003696461790241301
0.98,0.9928571428571429,0.00033542397432029247
0.98,1.0,0.0003351478080730885
1.0,1.0,0.00032303587067872286
